CO,NO2,PM2.5,SO2,source_label,health_impact,Precautionary_Measures,AQI
3.965,16.96,167.73,0.95,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,85.8475
2.129,46.42,38.31,32.01,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,20.2195
6.168,59.91,38.73,4.37,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,22.449
2.363,50.34,60.37,23.57,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,31.3665
7.647,65.7,25.72,9.7,Traffic congestion,Moderate,Be mindful of your body's health reactions,16.6835
4.439,32.09,152.1,10.26,Waste burning,Very unhealthy,Use an air filter or purifier in your home,78.2695
1.335,0.19,21.79,2.23,Natural background air,Moderate,Enjoy outdoor activities but with caution,11.5625
0.849,10.72,229.08,2.99,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,114.9645
3.702,61.66,70.1,30.22,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,36.901
1.148,9.56,13.92,3.69,Natural background air,Moderate,Be mindful of your body's health reactions,7.534
1.566,2.52,212.69,4.87,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,107.128
2.682,70.57,97.68,35.32,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,50.181
3.621,89.22,104.01,26.03,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,53.8155
2.141,60.54,91.03,28.81,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,46.5855
5.57,14.02,167.52,5.62,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,86.545
7.293,23.9,217.15,0.24,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",112.2215
3.879,64.9,58.57,29.15,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,31.2245
3.834,63.9,93.33,20.01,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,48.582
6.415,71.01,40.37,3.77,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,23.3925
2.554,8.55,99.27,8.31,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,50.912
7.611,33.52,42.37,5.97,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,24.9905
3.118,23.22,66.5,0.92,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,34.809
1.115,85.19,82.84,31.29,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,41.9775
3.957,11.64,125.17,6.01,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,64.5635
3.885,17.22,83.54,0.1,Domestic cooking/heating smoke,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,43.7125
2.154,30.05,31.82,22.53,Power plant emissions,Moderate,Continue with normal activities but remain vigilant,16.987
0.919,12.27,287.46,5.45,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,144.1895
3.366,66.35,81.37,19.54,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,42.368
5.696,15.66,173.86,4.58,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,89.778
2.802,66.27,114.44,27.93,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,58.621
2.823,66.12,66.92,20.24,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,34.8715
1.96,42.52,58.29,47.59,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,30.125
0.079,9.82,11.07,4.74,Natural background air,Good,Enjoy all outdoor activities with no restrictions,5.5745
1.241,45.75,76.44,35.41,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,38.8405
1.555,67.55,111.23,33.57,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,56.3925
1.789,58.65,57.05,38.49,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,29.4195
1.213,48.08,73.4,45.02,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,37.3065
1.303,46.33,63.24,33.16,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,32.2715
5.6,5.65,194.1,5.82,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,99.85
3.606,79.05,104.19,36.27,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,53.898
4.841,22.12,126.78,2.77,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,65.8105
2.458,53.58,70.66,23.37,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,36.559
0.241,12.77,149.03,9.75,Construction dust,Unhealthy,Postpone outdoor sports and strenuous activities today,74.6355
3.897,62.19,72.52,28.15,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,38.2085
0.145,12.75,5.32,3.34,Natural background air,Moderate,Keep an eye on air quality updates hourly,2.7325
5.646,8.55,100.31,0.13,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,52.978
4.022,1.3,109.85,2.88,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,56.936
2.892,2.3,114.31,6.24,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,58.601
1.889,45.6,79.17,28.01,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,40.5295
2.995,79.98,114.98,21.63,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,58.9875
1.231,6.09,128.35,3.47,Construction dust,Unhealthy,Postpone outdoor sports and strenuous activities today,64.7905
3.132,3.31,134.02,2.09,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,68.576
0.894,0.11,267.67,3.6,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,134.282
5.012,11.21,94.21,4.47,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,49.611
2.021,5.31,120.05,4.11,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,61.0355
1.225,51.02,43.75,39.53,Power plant emissions,Moderate,Keep an eye on air quality updates hourly,22.4875
0.537,8.86,250.14,9.41,Construction dust,Hazardous,Follow all official warnings and emergency protocols,125.3385
0.524,13.23,22.3,0.98,Natural background air,Moderate,Stay informed on daily air quality forecasts,11.412
1.491,50.4,68.84,40.53,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,35.1655
5.29,39.02,30.75,8.15,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,18.02
1.228,1.32,9.79,3.57,Natural background air,Moderate,Be mindful of your body's health reactions,5.509
7.783,17.82,228.92,1.98,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,118.3515
8.921,43.64,30.98,6.69,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,19.9505
1.019,55.06,93.57,39.55,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,47.2945
5.567,10.43,88.57,8.31,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,47.0685
1.348,38.28,61.87,23.05,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,31.609
1.114,14.2,10.37,1.63,Natural background air,Moderate,Keep an eye on air quality updates hourly,5.742
1.047,1.75,144.1,5.37,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,72.5735
4.476,21.12,83.16,5.77,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,43.818
3.974,52.35,116.05,31.59,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,60.012
0.487,12.63,158.47,0.73,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,79.4785
6.915,18.09,200.09,8.35,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",103.5025
0.121,6.2,218.84,4.36,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,109.4805
1.974,58.96,78.34,32.69,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,40.157
1.268,3.8,220.4,5.28,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,110.834
3.207,18.82,141.32,4.09,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,72.2635
3.235,10.89,165.41,1.67,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,84.3225
3.768,15.33,117.75,2.42,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,60.759
3.615,17.56,185.67,8.71,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,94.6425
1.599,74.33,55.98,16.74,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,28.7895
3.105,10.81,63.77,2.6,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,33.4375
2.739,29.0,68.84,45.58,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,35.7895
4.344,11.43,116.72,8.78,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,60.532
0.513,8.89,23.4,3.39,Natural background air,Moderate,Stay informed on daily air quality forecasts,11.9565
6.393,44.3,54.01,3.57,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,30.2015
4.286,0.58,138.23,6.62,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,71.258
2.424,14.27,77.49,2.79,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,39.957
1.361,1.82,2.84,2.05,Natural background air,Moderate,Be mindful of your body's health reactions,2.1005
1.933,6.78,146.56,3.89,Construction dust,Unhealthy,Consider wearing an N95 respirator mask outdoors,74.2465
3.124,19.94,93.7,0.87,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,48.412
3.329,73.15,63.24,29.08,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,33.2845
0.79,7.38,22.02,2.06,Natural background air,Moderate,Enjoy outdoor activities but with caution,11.405
9.599,58.69,49.38,9.22,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,29.4895
6.178,14.0,204.0,2.51,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,105.089
5.231,25.34,234.79,12.15,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,120.0105
7.241,20.74,212.73,13.7,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",109.9855
2.616,52.1,35.7,39.67,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,19.158
4.257,1.28,104.84,4.42,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,54.5485
3.913,6.08,108.42,0.01,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,56.1665
1.296,0.28,16.35,3.09,Natural background air,Moderate,Keep an eye on air quality updates hourly,8.823
0.653,9.35,1.41,0.12,Natural background air,Good,"Spend time outdoors, the air quality is excellent",1.0315
0.416,7.56,13.62,1.42,Natural background air,Moderate,Keep an eye on air quality updates hourly,7.018
3.712,10.25,93.4,3.85,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,48.556
7.121,42.1,47.58,1.74,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,27.3505
1.661,50.14,104.79,24.4,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,53.2255
7.512,23.95,244.01,0.73,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,125.761
5.988,74.88,38.62,0.11,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,22.304
4.198,16.43,170.29,3.4,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,87.244
1.886,13.98,158.03,3.58,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,79.958
0.378,8.6,5.38,4.31,Natural background air,Good,"Enjoy clean air and sunshine, stay active",2.879
6.17,36.74,30.0,7.62,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,18.085
1.868,11.5,238.77,8.24,Construction dust,Very unhealthy,Use an air filter or purifier in your home,120.319
2.311,76.75,103.82,19.81,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,53.0655
1.296,10.68,4.46,0.4,Natural background air,Moderate,Stay informed on daily air quality forecasts,2.878
2.502,3.68,147.6,7.59,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,75.051
2.17,9.35,145.06,6.42,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,73.615
3.392,15.81,95.85,7.94,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,49.621
5.261,19.83,136.3,1.45,Waste burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,70.7805
1.208,2.46,18.4,1.51,Natural background air,Moderate,Keep an eye on air quality updates hourly,9.804
2.659,24.0,115.85,5.57,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,59.2545
6.916,29.5,118.61,0.0,Waste burning,Unhealthy,Avoid all non-essential outdoor physical exertion,62.763
5.791,59.95,26.07,0.37,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,15.9305
1.199,26.54,78.18,31.93,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,39.6895
1.39,43.17,68.44,22.8,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,34.915
1.67,45.41,75.48,21.18,Power plant emissions,Unhealthy,Use an air purifier to improve indoor air quality,38.575
2.632,40.69,69.82,38.27,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,36.226
3.383,45.56,91.59,27.54,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,47.4865
4.606,21.94,190.67,8.73,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",97.638
4.256,5.2,167.97,9.81,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,86.113
7.22,31.13,159.86,0.77,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,83.54
0.679,10.62,13.94,1.28,Natural background air,Moderate,Continue with normal activities but remain vigilant,7.3095
1.339,12.47,3.76,0.19,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,2.5495
1.198,47.18,52.34,43.56,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,26.769
0.747,5.75,20.92,3.25,Natural background air,Moderate,Keep an eye on air quality updates hourly,10.8335
2.686,41.16,65.43,42.22,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,34.058
3.283,71.68,60.06,16.78,Industrial emissions,Very unhealthy,Keep windows sealed and use indoor air circulation,31.6715
4.144,1.71,98.17,1.16,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,51.157
2.396,43.95,89.8,38.98,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,46.098
1.565,35.49,50.25,49.96,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,25.9075
0.235,3.78,285.82,5.82,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,143.0275
3.593,64.19,117.81,20.45,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,60.7015
6.586,74.74,53.61,3.42,Traffic congestion,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,30.098
1.327,9.99,7.16,2.3,Natural background air,Good,No precautions are required at this time,4.2435
4.177,15.09,190.29,9.51,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,97.2335
0.498,4.87,8.36,0.13,Natural background air,Good,Feel free to engage in all physical activities,4.429
2.383,53.03,38.17,24.03,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,20.2765
1.892,1.99,19.37,1.32,Natural background air,Moderate,Keep an eye on air quality updates hourly,10.631
5.173,47.94,56.39,4.74,Traffic congestion,Unhealthy,Stay indoors with windows and doors securely closed,30.7815
0.307,5.5,187.83,1.51,Construction dust,Very unhealthy,Use an air filter or purifier in your home,94.0685
0.903,12.85,23.6,1.68,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,12.2515
3.834,16.96,89.26,8.48,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,46.547
2.493,2.91,109.66,9.02,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,56.0765
3.422,17.91,85.11,2.02,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,44.266
5.408,11.44,142.01,2.93,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,73.709
3.892,6.0,169.44,0.48,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,86.666
5.367,20.84,227.42,5.45,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",116.3935
1.921,33.4,36.69,48.65,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,19.3055
2.142,55.36,36.97,37.51,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,19.556
6.82,28.55,201.98,3.78,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,104.4
1.536,57.02,61.66,41.91,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,31.598
1.801,84.05,106.02,31.8,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,53.9105
0.771,13.73,257.39,5.05,Construction dust,Hazardous,Use high-quality N95 respirator masks if unavoidable,129.0805
5.865,14.75,205.56,8.35,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,105.7125
4.292,2.85,186.92,3.46,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,95.606
2.488,14.88,74.39,9.68,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,38.439
2.747,34.04,40.58,42.35,Power plant emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,21.6635
0.289,6.63,180.8,5.22,Construction dust,Very unhealthy,Use an air filter or purifier in your home,90.5445
1.193,10.65,122.32,5.18,Construction dust,Unhealthy,Postpone outdoor sports and strenuous activities today,61.7565
6.058,12.13,182.78,5.7,Waste burning,Very unhealthy,Use an air filter or purifier in your home,94.419
7.808,28.45,190.02,13.21,Waste burning,Very unhealthy,Use an air filter or purifier in your home,98.914
2.497,22.27,82.5,3.54,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,42.4985
3.67,21.13,131.84,1.75,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,67.755
0.179,6.57,162.3,2.91,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,81.2395
7.637,30.49,233.34,2.99,Waste burning,Very unhealthy,Use an air filter or purifier in your home,120.4885
2.753,16.9,123.89,6.1,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,63.3215
4.157,6.81,145.43,1.54,Biomass burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,74.7935
0.841,13.43,24.57,3.19,Natural background air,Moderate,Enjoy outdoor activities but with caution,12.7055
1.239,9.95,270.7,2.15,Construction dust,Hazardous,Close all building ventilation systems to the outside,135.9695
1.293,47.96,41.64,25.55,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,21.4665
7.464,17.24,170.68,9.29,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,89.072
1.819,66.39,71.61,38.58,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,36.7145
2.976,42.5,38.96,46.84,Power plant emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,20.968
3.088,48.54,107.29,21.39,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,55.189
1.375,4.88,2.37,4.88,Natural background air,Moderate,Be mindful of your body's health reactions,1.8725
2.467,73.68,60.64,16.72,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,31.5535
7.497,30.77,134.47,5.99,Waste burning,Unhealthy,Use an air purifier to improve indoor air quality,70.9835
5.318,31.54,29.79,9.0,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,17.554
5.22,18.36,114.32,8.58,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,59.77
1.228,5.01,20.45,0.19,Natural background air,Moderate,Continue with normal activities but remain vigilant,10.839
0.326,12.19,21.33,4.57,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,10.828
4.931,39.64,42.44,4.19,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,23.6855
2.252,28.56,35.62,22.43,Power plant emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,18.936
1.84,1.42,218.4,7.41,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",110.12
7.504,55.13,31.83,7.22,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,19.667
5.413,5.58,106.07,9.57,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,55.7415
1.641,9.22,20.8,2.47,Natural background air,Moderate,Stay informed on daily air quality forecasts,11.2205
0.421,3.41,6.99,0.64,Natural background air,Good,No precautions are required at this time,3.7055
1.612,1.19,4.79,1.93,Natural background air,Moderate,Enjoy outdoor activities but with caution,3.201
3.607,68.96,53.1,38.34,Industrial emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,28.3535
5.89,11.2,192.48,0.52,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,99.185
6.044,25.11,169.67,12.43,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,87.857
4.84,28.56,104.75,5.32,Waste burning,Unhealthy,Ensure proper ventilation with an air filter system,54.795
1.691,10.91,296.56,1.56,Construction dust,Hazardous,Follow all official warnings and emergency protocols,149.1255
5.255,25.89,154.04,2.23,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,79.6475
7.005,32.42,227.07,2.74,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,117.0375
5.953,13.33,139.94,6.29,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,72.9465
1.483,12.41,294.25,8.9,Construction dust,Hazardous,Close all building ventilation systems to the outside,147.8665
4.355,74.67,43.47,9.93,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,23.9125
4.478,18.2,222.55,8.96,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,113.514
0.323,13.59,12.91,0.77,Natural background air,Moderate,Be mindful of your body's health reactions,6.6165
5.466,7.61,173.3,9.64,Biomass burning,Very unhealthy,Keep windows sealed and use indoor air circulation,89.383
3.497,18.91,182.15,6.69,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,92.8235
9.734,67.16,44.4,6.12,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,27.067
3.53,12.53,65.47,0.35,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,34.5
6.377,25.08,202.7,8.63,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,104.5385
1.181,86.79,75.26,18.43,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,38.2205
7.669,20.16,122.35,10.72,Waste burning,Unhealthy,Stay indoors with windows and doors securely closed,65.0095
0.609,1.3,121.26,4.5,Construction dust,Unhealthy,Wear a high-efficiency particulate air mask outdoors,60.9345
9.147,65.48,41.6,0.98,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,25.3735
1.323,13.55,138.64,2.32,Construction dust,Unhealthy,Wear a high-efficiency particulate air mask outdoors,69.9815
2.579,76.85,56.63,17.45,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,29.6045
6.791,69.47,31.99,5.14,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,19.3905
4.313,4.7,164.88,8.17,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,84.5965
0.802,5.26,259.34,8.03,Construction dust,Hazardous,Follow all official warnings and emergency protocols,130.071
3.021,12.76,115.75,9.11,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,59.3855
4.643,22.07,119.66,2.11,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,62.1515
2.049,78.96,96.63,20.44,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,49.3395
1.355,61.09,108.95,25.21,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,55.1525
1.219,58.84,38.74,39.79,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,19.9795
3.552,83.5,99.88,36.09,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,51.716
3.785,18.47,63.89,6.59,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,33.8375
0.727,9.62,22.53,0.82,Natural background air,Moderate,Enjoy outdoor activities but with caution,11.6285
1.122,49.85,30.49,32.87,Power plant emissions,Moderate,Be mindful of your body's health reactions,15.806
6.767,34.14,159.64,1.96,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,83.2035
5.779,4.57,156.49,2.22,Biomass burning,Very unhealthy,Keep windows sealed and use indoor air circulation,81.1345
0.525,0.79,162.35,8.02,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,81.4375
0.867,12.0,253.37,4.26,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,127.1185
1.691,11.99,212.02,2.33,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,106.8555
0.996,4.94,199.87,8.57,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,100.433
0.101,0.94,154.54,0.32,Construction dust,Very unhealthy,Use an air filter or purifier in your home,77.3205
1.204,56.98,71.03,43.04,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,36.117
1.067,8.95,186.52,8.07,Construction dust,Very unhealthy,Use an air filter or purifier in your home,93.7935
2.018,80.93,56.53,37.48,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,29.274
2.128,60.33,82.7,34.84,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,42.414
4.931,2.55,61.74,4.34,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,33.3355
7.304,25.79,217.88,8.98,Waste burning,Hazardous,Close all building ventilation systems to the outside,112.592
4.816,21.73,220.34,2.7,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,112.578
0.377,12.07,294.15,2.69,Construction dust,Hazardous,Follow all official warnings and emergency protocols,147.2635
5.602,64.39,51.61,5.96,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,28.606
1.193,50.5,44.09,26.34,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,22.6415
4.497,0.24,82.08,3.57,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,43.2885
6.451,61.18,47.23,0.45,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,26.8405
0.449,7.5,21.01,3.51,Natural background air,Moderate,Be mindful of your body's health reactions,10.7295
0.049,8.72,13.72,1.1,Natural background air,Moderate,Continue with normal activities but remain vigilant,6.8845
3.396,55.35,118.62,30.45,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,61.008
0.607,5.44,1.66,4.95,Natural background air,Good,No precautions are required at this time,1.1335
6.02,67.58,47.74,8.49,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,26.88
0.314,14.44,213.79,0.73,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,107.052
3.964,9.53,107.9,6.4,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,55.932
3.053,5.87,173.0,5.18,Biomass burning,Very unhealthy,"Cancel all outdoor activities, including school sports",88.0265
